,,,CONFIDENCE,DESIGN,DEFECT,DOC,REQ,TEST,UNKNOWN,,DESIGN,DEFECT,DOC,REQ,TEST,UNKNOWN
todo build a navigation helper for better param extraction,UNKNOWN,DESIGN,887,1,,,,,,,1,,,,,
todo build a navigation helper for better param extraction,UNKNOWN,DESIGN,887,1,,,,,,,1,,,,,
todo alter the exception message to say we are just reporting it and its not a real crash.,UNKNOWN,DESIGN,595,,,,,,1,,1,,,,,
todo is this an injection problem?,UNKNOWN,DESIGN,883,,1,,,,,,,,,,,1
todo refactor the client to update web history properly for activities with requesthandlers.,UNKNOWN,DESIGN,928,1,,,,,,,1,,,,,
todo just use http with local env,UNKNOWN,DESIGN,883,1,,,,,,,1,,,,,
todo this should probably be fatal?,UNKNOWN,DESIGN,999,,,,,,1,,,,,,,1
todo set up error props,UNKNOWN,DESIGN,703,1,,,,,,,,,,1,,
todo the bucketing logic works but the suffix should be translated.,UNKNOWN,DESIGN,742,1,,,,,,,1,,,,,
todo implement `duration`,UNKNOWN,DESIGN,974,,,,1,,,,,,,1,,
todo add `public` to `update` model,UNKNOWN,DESIGN,568,,,,,,1,,,,,1,,
todo do we clear these too?,UNKNOWN,DESIGN,691,1,,,,,,,,,,,,1
todo revisit this,UNKNOWN,DESIGN,988,1,,,,,,,1,,,,,
note we should do this at the end since we check visibility state in some of the,UNKNOWN,DESIGN,856,1,,,,,,,1,,,,,
might be extra pixels around the preview itself - this accounts for that,UNKNOWN,DESIGN,715,,,,,,1,,,1,,,,
note we force a measure here to get around the fact that when we do layout calculations,UNKNOWN,DESIGN,722,1,,,,,,,1,,,,,
note we force a measure here to get around the fact that when we do layout calculations,UNKNOWN,DESIGN,722,1,,,,,,,1,,,,,
todo can we do a measure/layout immediately?,UNKNOWN,DESIGN,930,1,,,,,,,,,,1,,
todo we currently dont support spring-loading for pendingaddshortcutinfos even,UNKNOWN,DESIGN,993,,,,,,1,,1,,,,,
todo investigate why this is ever happening. presently only on one known device.,UNKNOWN,DESIGN,998,,1,,,,,,,,,,1,
we will then want to try to move this around to other neighbouring positions,UNKNOWN,DESIGN,984,,,,,,1,,,,,,,1
this seems like it should be obvious and straight-forward but when the direction vector needs to match with the notion of the dragview pushing other views we have to employ a slightly more subtle notion of the direction vector. the question is what two points is the vector between? the center of the dragview and its desired destination? not quite as this doesnt necessarily coincide with the interaction of the dragview and items occupying those cells. instead we use some heuristics to often lock the vector to up down left or right which helps make pushing feel right.,UNKNOWN,DESIGN,869,1,,,,,,,1,,,,,
when we are checking drop validity or actually dropping we dont recompute the,UNKNOWN,DESIGN,896,,,,,,1,,,,,1,,
todo we dont really need to do the animation if startvalue == tovalue but,UNKNOWN,DESIGN,995,1,,,,,,,1,,,,,
before it gets a change to get set so we need to read it here when we use it),UNKNOWN,DESIGN,665,1,,,,,,,1,,,,,
is very destructive (wipes out workspaces) we want to prevent this from showing,UNKNOWN,DESIGN,765,1,,,,,,,,1,,,,
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo use multiple loaders with fall-back and transaction.,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
logical choice for what shortcut should be used for that intent exists then it is,UNKNOWN,DESIGN,999,,,,,,1,,1,,,,,
todo need to check return value,UNKNOWN,DESIGN,817,1,,,,,,,,,,1,,
before it gets a change to get set so we need to read it here when we use it),UNKNOWN,DESIGN,665,1,,,,,,,,,,,,1
is very destructive (wipes out workspaces) we want to prevent this from showing,UNKNOWN,DESIGN,765,,1,,,,,,,1,,,,
